23,013;7,49
23,117;7,617
23,222;7,745
23,954;8,584
24,895;9,211
25,628;9,276
25,941;9,246
27,092;9,106
28,138;9,142
29,603;9,367
29,707;9,385
31,485;9,742
32,427;9,993
34,728;10,706
35,356;10,905
37,238;11,483
39,121;12,012
41,109;12,552
42,155;12,852
43,41;13,243
46,444;14,217
47,699;14,574
48,117;14,688
50,941;15,461
51,464;15,616
54,079;16,456
55,439;16,914
55,544;16,949
60,251;18,549
60,983;18,807
61,297;18,919
64,958;20,228
65,9;20,54
68,619;21,346
70,084;21,748
71,13;22,032
74,791;23,034
75,209;23,148
77,092;23,652
80,649;24,607
82,322;25,126
82,741;25,268
85,565;26,32
87,552;27,049
88,912;27,495
90,69;27,992
94,456;28,852
95,711;29,12
96,339;29,257
99,895;30,088
101,464;30,495
102,092;30,669
106,485;32,187
106,59;32,23
107,636;32,667
111,088;34,195
112,971;35,064
113,808;35,458
115,063;36,053
116,423;36,665
120,188;38,224
120,502;38,35
121,234;38,639
124,477;39,855
125,209;40,123
126,464;40,584
129,603;41,749
130,544;42,101
131,172;42,336
134,937;43,587
135,669;43,768
136,297;43,913
139,54;44,833
140,063;45,051
142,887;46,459
143,933;46,926
148,013;48,149
148,431;48,292
149,059;48,533
152,929;50,339
153,033;50,386
153,452;50,568
156,799;51,801
157,008;51,867
157,845;52,118
159,414;52,54
160,983;52,918
161,82;53,116
162,134;53,192
164,644;53,864
164,749;53,895
165,063;53,988
167,887;54,979
167,992;55,022
168,305;55,157
170,293;55,966
170,397;55,996
171,757;56,201
171,967;56,211
172,28;56,223
172,594;56,234
