0,878;14,325
0,964;14,321
1,007;14,319
5,381;14,3
5,42;14,303
6,126;14,353
10,27;14,917
10,847;15,016
12,267;15,265
16,273;15,939
16,472;15,97
18,527;16,259
22,017;16,681
22,412;16,728
26,338;17,26
27,681;17,481
28,192;17,57
33,763;18,643
33,794;18,649
34,267;18,743
39,487;19,627
40,349;19,735
40,649;19,771
45,211;20,223
47,385;20,413
48,1;20,475
50,398;20,67
53,885;20,927
55,611;21,037
56,302;21,081
61,692;21,577
61,935;21,61
62,504;21,695
67,811;22,672
67,832;22,675
69,447;22,93
72,702;23,263
74,867;23,401
77,378;23,533
78,367;23,587
81,962;23,86
84,056;24,128
84,39;24,183
88,699;24,95
90,197;25,121
90,651;25,156
95,78;25,309
95,794;25,31
98,129;25,403
102,162;25,816
102,591;25,877
106,238;26,487
107,887;26,795
108,136;26,842
113,672;27,703
113,989;27,728
114,574;27,762
119,277;27,896
119,952;28
120,596;28,14
124,883;29,484
126,33;29,874
127,57;30,117
130,189;30,464
133,186;30,87
133,531;30,938
135,496;31,452
138,537;32,493
139,027;32,661
140,859;33,256
144,376;34,336
145,524;34,696
146,701;35,084
149,442;36,133
150,887;36,805
151,946;37,352
153,434;38,172
156,248;39,793
157,128;40,295
157,906;40,739
160,656;42,457
160,939;42,661
162,435;43,857
164,465;45,917
164,869;46,423
166,366;48,741
167,02;50,011
167,543;51,136
168,682;53,94
169,101;55,128
169,511;56,424
171,478;61,77
