0,878;-24,518
0,964;-24,555
1,007;-24,573
5,381;-25,891
5,42;-25,894
6,126;-25,904
10,27;-25,385
10,847;-25,33
12,267;-25,234
16,273;-24,974
16,472;-24,952
18,527;-24,639
22,017;-23,963
22,412;-23,898
26,338;-23,43
27,681;-23,292
28,192;-23,238
33,763;-22,54
33,794;-22,536
34,267;-22,469
39,487;-21,709
40,349;-21,592
40,649;-21,552
45,211;-20,959
47,385;-20,658
48,1;-20,562
50,398;-20,291
53,885;-20,033
55,611;-19,96
56,302;-19,94
61,692;-19,797
61,935;-19,784
62,504;-19,747
67,811;-19,238
67,832;-19,237
69,447;-19,213
72,702;-19,212
74,867;-19,048
77,378;-18,791
78,367;-18,702
81,962;-18,492
84,056;-18,373
84,39;-18,35
88,699;-17,976
90,197;-17,863
90,651;-17,837
95,78;-17,809
95,794;-17,809
98,129;-17,772
102,162;-17,695
102,591;-17,693
106,238;-17,703
107,887;-17,665
108,136;-17,653
113,672;-17,154
113,989;-17,119
114,574;-17,055
119,277;-16,644
119,952;-16,612
120,596;-16,588
124,883;-16,374
126,33;-16,202
127,57;-16,017
130,189;-15,626
133,186;-15,287
133,531;-15,241
135,496;-14,877
138,537;-13,895
139,027;-13,717
140,859;-13,089
144,376;-12,158
145,524;-11,892
146,701;-11,618
149,442;-10,906
150,887;-10,481
151,946;-10,15
153,434;-9,665
156,248;-8,705
157,128;-8,395
157,906;-8,118
160,656;-7,102
160,939;-6,994
162,435;-6,414
164,465;-5,538
164,869;-5,322
166,366;-4,233
167,02;-3,517
167,543;-2,814
168,682;-0,95
169,101;-0,218
169,511;0,475
171,478;3,555
