23,013;5,076;7,49;-11,07
23,117;5,161;7,617;-10,802
23,222;5,246;7,745;-10,533
23,954;5,808;8,584;-9,583
24,895;6,378;9,211;-9,247
25,628;6,671;9,276;-9,186
25,941;6,759;9,246;-9,205
27,092;6,963;9,106;-9,499
28,138;7,09;9,142;-9,795
29,603;7,29;9,367;-10,031
29,707;7,307;9,385;-10,044
31,485;7,659;9,742;-10,256
32,427;7,872;9,993;-10,389
34,728;8,416;10,706;-10,596
35,356;8,56;10,905;-10,593
37,238;8,957;11,483;-10,516
39,121;9,288;12,012;-10,443
41,109;9,572;12,552;-10,463
42,155;9,701;12,852;-10,498
43,41;9,849;13,243;-10,533
46,444;10,221;14,217;-10,518
47,699;10,403;14,574;-10,502
48,117;10,471;14,688;-10,498
50,941;11,038;15,461;-10,409
51,464;11,157;15,616;-10,353
54,079;11,727;16,456;-9,906
55,439;11,98;16,914;-9,718
55,544;11,998;16,949;-9,708
60,251;12,799;18,549;-9,562
60,983;12,932;18,807;-9,545
61,297;12,991;18,919;-9,535
64,958;13,741;20,228;-9,164
65,9;13,942;20,54;-8,981
68,619;14,499;21,346;-8,399
70,084;14,763;21,748;-8,157
71,13;14,934;22,032;-8,066
74,791;15,459;23,034;-8,002
75,209;15,517;23,148;-7,98
77,092;15,779;23,652;-7,833
80,649;16,335;24,607;-7,474
82,322;16,659;25,126;-7,326
82,741;16,753;25,268;-7,289
85,565;17,484;26,32;-6,953
87,552;17,909;27,049;-6,571
88,912;18,11;27,495;-6,311
90,69;18,324;27,992;-6,068
94,456;18,808;28,852;-5,927
95,711;19,049;29,12;-5,851
96,339;19,192;29,257;-5,784
99,895;20,06;30,088;-5,086
101,464;20,356;30,495;-4,758
102,092;20,463;30,669;-4,651
106,485;21,199;32,187;-4,325
106,59;21,219;32,23;-4,32
107,636;21,438;32,667;-4,247
111,088;22,444;34,195;-3,804
112,971;23,129;35,064;-3,495
113,808;23,418;35,458;-3,354
115,063;23,807;36,053;-3,147
116,423;24,169;36,665;-2,929
120,188;25,177;38,224;-2,377
120,502;25,28;38,35;-2,336
121,234;25,538;38,639;-2,243
124,477;26,784;39,855;-1,88
125,209;27,022;40,123;-1,807
126,464;27,389;40,584;-1,686
129,603;28,276;41,749;-1,372
130,544;28,566;42,101;-1,255
131,172;28,766;42,336;-1,167
134,937;30,094;43,587;-0,519
135,669;30,381;43,768;-0,39
136,297;30,636;43,913;-0,281
139,54;32,102;44,833;0,255
140,063;32,352;45,051;0,343
142,887;33,744;46,459;0,857
143,933;34,32;46,926;1,08
148,013;36,701;48,149;1,986
148,431;36,932;48,292;2,057
149,059;37,266;48,533;2,156
152,929;39,007;50,339;2,87
153,033;39,053;50,386;2,901
153,452;39,237;50,568;3,035
156,799;40,959;51,801;4,299
157,008;41,074;51,867;4,354
157,845;41,527;52,118;4,513
159,414;42,311;52,54;4,669
160,983;42,978;52,918;4,868
161,82;43,303;53,116;5,087
162,134;43,422;53,192;5,192
164,644;44,368;53,864;6,228
164,749;44,41;53,895;6,27
165,063;44,538;53,988;6,394
167,887;45,833;54,979;7,27
167,992;45,888;55,022;7,291
168,305;46,06;55,157;7,345
170,293;47,36;55,966;7,456
170,397;47,438;55,996;7,482
171,757;48,704;56,201;8,35
171,967;49,022;56,211;8,584
172,28;49,64;56,223;9,065
172,594;50,407;56,234;9,922
