x,Curve1
"14,841","0,459"
"29,948","0,7995"
"45,157","1,0335"
"59,763","1,1293"
"75,178","1,0973"
"90,192","0,9855"
"104,703","0,7779"
"119,921","0,4586"
"135,241","0,0674"
"149,964","-0,7388"
"165,051","-1,8361"
