x,Right,Left
"9,799","30,464","30,539"
"9,951","30,42","30,527"
"19,82","27,894","29,763"
"19,903","27,878","29,756"
"29,834","26,842","29,152"
"29,966","26,839","29,15"
"39,883","26,918","29,346"
"40,024","26,916","29,346"
"49,843","26,685","29,08"
"49,884","26,686","29,08"
"59,877","27,794","29,249"
"59,971","27,808","29,248"
"69,83","28,312","28,579"
"69,854","28,308","28,576"
"79,76","26,47","27,659"
"79,957","26,46","27,661"
"89,767","27,865","29,087"
"89,909","27,89","29,121"
"99,865","28,957","31,371"
"100,04","28,973","31,397"
"109,845","30,395","32,476"
"110,082","30,442","32,516"
"119,863","32,625","34,837"
"120,04","32,661","34,876"
"129,88","34,643","36,647"
"130,057","34,686","36,681"
"139,935","37,717","38,96"
"140,04","37,752","38,986"
