x,Right,Left
"9,964","15,575","9,743"
"10,117","15,536","9,716"
"19,789","13,665","8,435"
"20,068","13,647","8,421"
"29,914","14,53","8,886"
"30,133","14,575","8,914"
"39,875","17,267","10,989"
"40,064","17,329","11,049"
"49,98","19,708","13,989"
"50,152","19,711","14,012"
"59,824","18,508","14,104"
"60,068","18,5","14,119"
"69,812","19,981","15,674"
"70,087","20,029","15,712"
"79,907","20,082","15,805"
"80,126","20,038","15,78"
"89,873","16,391","13,5"
"90,037","16,316","13,444"
"99,801","11,705","9,19"
"100,019","11,596","9,078"
"109,822","4,991","2,549"
"110,094","4,72","2,304"
"119,926","-7,743","-7,608"
"119,929","-7,748","-7,611"
"129,978","-20,671","-18,688"
"130,036","-20,755","-18,789"
"139,887","-37,222","-43,129"
"140,073","-37,555","-43,657"
