x,Right,Left
"9,803","4,015","1,889"
"10,009","4,174","2,024"
"19,828","11,043","7,857"
"19,979","11,126","7,926"
"29,815","15,034","11,365"
"29,96","15,08","11,411"
"39,747","18,312","14,89"
"40,086","18,435","15,019"
"49,827","21,863","18,319"
"50,005","21,912","18,363"
"59,869","23,903","20,478"
"60,01","23,931","20,52"
"69,812","26,355","24,308"
"70,024","26,415","24,389"
"79,88","29,427","27,4"
"79,993","29,463","27,428"
"89,922","32,514","29,592"
"90,035","32,543","29,614"
"99,815","34,482","31,624"
"100,003","34,513","31,67"
"109,895","36,371","34,228"
"109,932","36,38","34,237"
"119,825","39,069","36,61"
"120,013","39,117","36,67"
"129,903","40,841","39,996"
"129,917","40,842","39,999"
"139,893","40,519","40,566"
"139,906","40,518","40,566"
