-97,4318;7,9318
-96,8449;8,5008
-96,258;9,0697
-95,5074;9,6151
-93,777;9,9246
-91,8886;9,9501
-90,0767;10,236
-88,1042;10,3562
-86,1316;10,4765
-84,0796;10,4784
-82,0276;10,4804
-80,0551;10,6006
-78,2467;10,7207
-76,2747;10,8173
-74,3863;10,8428
-72,4938;11,0577
-70,4397;11,1544
-68,5483;11,3219
-66,5757;11,4422
-64,6043;11,5151
-62,6312;11,659
-60,6592;11,7556
-58,6872;11,8522
-56,7147;11,9725
-54,6606;12,0691
-52,6896;12,1184
-50,7176;12,2149
-48,7451;12,3352
-46,7731;12,4318
-44,8006;12,5521
-42,8286;12,6486
-40,856;12,7689
-38,804;12,7708
-36,752;12,7728
-34,6979;12,8694
-32,8074;12,9896
-30,7549;13,0152
-28,7008;13,1119
-26,7288;13,2085
-24,6763;13,2341
-22,7043;13,3307
-20,6522;13,3326
-18,5997;13,3582
-16,6277;13,4548
-14,6552;13,5751
-12,6031;13,577
-10,7127;13,6972
-9,1459;14,0302
-7,255;14,1741
-5,4446;14,3889
-3,6372;14,4617
-2,4778;14,9364
