20.242,-1.8448,-1.3276,-1.2443
20.41,-1.8417,-1.3241,-1.2391
20.413,-1.8417,-1.324,-1.239
29.842,-1.6996,-1.1274,-0.9561
30.011,-1.6982,-1.1239,-0.9513
30.357,-1.6956,-1.1168,-0.9417
39.954,-1.6345,-0.9066,-0.7186
39.958,-1.6344,-0.9065,-0.7186
40.043,-1.6333,-0.9044,-0.7171
49.902,-1.4248,-0.6567,-0.5752
49.987,-1.4229,-0.6549,-0.5739
50.498,-1.4116,-0.6442,-0.5664
59.931,-1.258,-0.4584,-0.3874
60.185,-1.2549,-0.4521,-0.3811
60.789,-1.2477,-0.4367,-0.3657
69.875,-1.0923,-0.1823,-0.0187
70.048,-1.0873,-0.1782,-0.0097
70.128,-1.085,-0.1764,-0.0055
79.73,-0.7026,-0.0276,0.6298
79.905,-0.6957,-0.0256,0.644
79.994,-0.6922,-0.0247,0.6513
89.762,-0.3276,0.1178,1.6055
89.932,-0.3203,0.1216,1.6242
90.113,-0.3125,0.1258,1.6442
99.964,0.3209,0.5266,2.7423
99.975,0.3219,0.5272,2.7434
100.306,0.3539,0.5483,2.7771
109.665,1.6266,1.3702,3.5904
109.741,1.639,1.3786,3.5962
110.169,1.7087,1.4265,3.629
119.689,3.388,2.6319,4.419
119.869,3.4227,2.6551,4.4372
120.035,3.4549,2.6764,4.4542
129.474,5.4174,3.9323,5.6426
129.724,5.4712,3.97,5.6769
129.902,5.5098,3.9972,5.7015
139.684,7.6178,5.796,7.1606
139.761,7.6344,5.8125,7.1738
140.025,7.6913,5.869,7.2195
149.637,9.7656,8.0992,9.1634
149.72,9.7835,8.1192,9.1815
149.886,9.8195,8.1593,9.2178
