30,1.9
35,2.6
40,3.6
45,4.7
50,5.8
55,7.0
60,8.2
65,9.4
70,10.5
75,11.6
80,12.8
85,14.0
90,15.2
95,16.5
100,17.9
105,19.5
110,21.2
115,22.9
120,24.3
