x;Flexion
14,932;-12,2221
19,961;-11,9617
24,962;-11,2024
29,877;-10,4649
34,877;-9,5647
39,936;-8,6971
44,994;-7,9812
49,966;-7,222
54,938;-6,5061
59,968;-5,7578
64,997;-4,966
69,969;-4,2827
74,97;-3,5668
79,999;-2,8835
84,971;-2,146
89,972;-1,4084
94,944;-0,6058
99,974;0,1751
104,974;1,1078
109,946;2,1164
114,947;3,9491
120,005;5,4239
131,316;8,2367

x;Abduction
14,882;-13,6879
19,916;-11,9117
24,985;-11,2284
29,873;-10,2036
35,088;-9,5613
39,94;-8,7824
45,045;-8,0854
49,97;-7,4568
54,967;-6,7872
59,964;-6,1176
64,961;-5,4753
69,958;-4,7783
74,955;-4,177
79,916;-3,4118
84,985;-2,7285
89,91;-2,0589
94,98;-0,6242
100,085;0,223
105,118;1,0702
110,006;2,095
114,894;2,9012
119,964;3,7758
135,951;7,2055

x;SAB
14,831;-12,9495
19,963;-12,6739
25,005;-11,8475
29,886;-11,1674
34,996;-10,4614
39,969;-9,7469
45,01;-9,0324
49,96;-8,2663
54,955;-7,5517
59,905;-6,8458
64,992;-6,1829
69,919;-5,5287
74,961;-4,8658
79,956;-4,2201
84,975;-3,5916
89,902;-2,8427
94,989;-2,1626
99,984;-1,4739
104,957;-0,6733
109,93;0,2391
114,948;1,2635
120,012;2,7009
137,888;8,155
