x;Flexion
15,051;13,8237
20,019;17,6149
25,058;20,2608
30,096;22,3605
34,972;24,0372
40,057;25,6083
45,096;26,9855
50,017;28,0102
55,033;28,9821
60,048;29,7073
65,017;30,1682
70,125;30,6116
75,024;30,7729
80,086;30,6877
85,125;30,3733
90,069;29,7593
95,015;29,0043
100,03;28,038
105,069;26,7721
110,108;25,3299
115,053;24,064
120,069;21,4237
131,461;16,0064

x;Abduction
15,051;0,8724
20,019;-3,4067
25,058;-5,2894
30,097;-7,3481
35,042;-9,2132
39,987;-11,0254
45,096;-12,6614
49,995;-14,0859
54,963;-15,2461
60,025;-16,2301
65,017;-16,9674
70,009;-17,6694
75,001;-18,019
80,063;-18,1925
85,078;-18,2073
90,024;-17,905
95,016;-17,1974
100,031;-16,1021
105,023;-14,9716
110,085;-13,3653
114,983;-11,4596
119,976;-8,7079
136,105;-0,131

x;SAB
15,027;5,3657
20,043;5,4213
25,011;5,706
30,05;5,9026
34,972;5,9935
40,011;6,0139
44,956;6,0872
50,018;6,1428
54,986;6,128
60,025;6,1836
64,97;6,1511
70,056;6,1011
74,978;5,9452
80,016;5,8775
85,009;5,7569
89,93;5,6363
94,992;5,4805
100,031;5,2014
104,953;4,9222
110,061;4,8898
114,96;4,9982
120,045;4,772
137,898;6,5525
