x;Flexion
15,045;-9,2782
20,028;-10,3926
25,056;-10,7599
30,062;-11,213
35,044;-11,7885
40,027;-12,413
45,033;-12,7558
50,038;-13,1966
55,044;-13,7231
60,027;-14,2374
65,055;-14,7149
70,06;-15,1312
75,021;-15,5965
80,026;-16,0863
85,032;-16,5271
90,014;-16,9923
94,997;-17,6169
100,025;-18,3762
104,963;-19,3191
109,968;-20,703
114,951;-23,2138
120,002;-26,0553
131,378;-29,857

x;Abduction
15,068;-20,2895
20,028;-22,2002
25,079;-23,5106
30,016;-25,5191
35,044;-27,0011
39,982;-28,3115
45,01;-29,8302
49,924;-31,1528
54,976;-32,3162
60,049;-33,2347
65,032;-34,0675
69,992;-34,839
74,975;-35,6105
80,003;-36,284
85,009;-36,8963
89,992;-37,6065
94,929;-38,7455
99,98;-39,37
104,917;-40,2027
109,968;-40,7537
114,974;-41,2558
120,048;-41,9906
135,965;-43,5914

x;SAB
14,931;-15,0595
19,982;-14,6673
25,01;-15,794
29,97;-16,688
34,885;-17,6065
40,004;-18,6475
44,919;-19,6272
49,993;-20,6559
54,93;-21,5866
59,936;-22,4071
65,009;-23,2153
69,992;-23,9134
74,998;-24,5869
80,026;-25,1869
84,986;-25,8482
89,923;-26,4359
94,929;-26,9012
99,98;-27,3665
104,963;-27,9543
110,014;-28,7135
114,928;-29,4728
120,002;-32,0693
138,487;-35,2426
