x;Flexion
14,965;-1,128
19,913;-5,602
24,952;-9,093
29,954;-12,537
34,956;-15,718
39,996;-19,305
44,998;-22,606
49,944;-26,146
55,003;-30,092
59,968;-33,728
65,027;-37,674
69,993;-41,717
75,014;-45,831
80,017;-49,993
84,947;-54,323
89,986;-58,222
95,026;-62,168
100,029;-65,899
105,068;-69,511
110,015;-72,763
114,999;-75,633
120,035;-77,832
131,426;-84,081

x;Abduction
14,938;3,552
19,935;-0,788
24,954;-4,857
29,997;-8,744
34,945;-12,21
40,034;-15,584
44,982;-19,05
49,954;-22,394
54,973;-26,041
60,015;-29,687
65,011;-33,574
69,937;-37,522
74,979;-41,41
80,045;-45,388
84,971;-49,155
89,92;-53,042
94,986;-56,899
99,982;-60,546
105;-63,951
109,972;-67,597
115,014;-71,032
119,963;-74,105
136,066;-83,354

x;SAB
14,8;-2,948
19,821;-6,799
24,899;-11,056
29,852;-14,279
34,94;-17,714
40,005;-21,013
44,925;-24,138
49,909;-27,534
54,948;-30,906
59,916;-34,362
64,981;-37,752
69,965;-41,232
74,96;-44,878
79,956;-48,434
84,975;-52,382
90,041;-56,118
94,826;-59,795
99,962;-63,471
104,981;-66,967
110,022;-70,191
115,017;-73,656
120,035;-76,488
137,913;-86,369
