x;Flexion
14,957;-11,7489
19,997;-12,6916
25,037;-13,8554
30,009;-15,1222
34,957;-16,5806
39,952;-18,1275
44,969;-19,6743
49,963;-21,2948
54,935;-22,8711
59,975;-24,4474
64,992;-25,9796
69,986;-27,3643
74,981;-28,7196
80,021;-30,1044
84,992;-31,4596
89,987;-32,9623
95,004;-34,3912
99,999;-35,8791
104,97;-37,4701
109,941;-39,0759
114,935;-41,0943
119,998;-43,3336
131,339;-47,6784

x;Abduction
14,951;-10,8231
19,965;-11,9338
24,997;-13,4422
29,975;-15,6171
34,989;-17,4997
39,985;-19,1718
45,053;-21,183
49,958;-22,8668
54,936;-24,6792
59,968;-26,55
65,018;-28,2221
69,977;-29,8707
74,901;-31,5311
80,005;-33,1213
84,983;-34,6999
89,961;-36,4421
94,957;-38,2662
99,97;-39,9616
104,966;-41,7273
109,944;-43,3759
114,957;-44,8258
119,953;-46,3926
135,9;-51,935

x;SAB
14,934;-10,187
19,997;-11,8149
25,003;-13,4354
29,963;-15,4832
34,98;-17,2143
39,952;-19,1515
45,06;-20,8457
49,975;-22,4367
54,969;-24,1825
60,009;-25,7809
65,003;-27,4162
69,941;-28,8893
74,969;-30,3404
80,01;-31,7104
85,038;-33,0583
89,964;-34,3031
94,946;-35,6068
99,987;-37,08
104,97;-38,5752
109,987;-40,1442
114,981;-41,772
119,988;-43,621
137,909;-51,0578
