x;Flexion
15,09;-6,2963
20,106;-4,9777
25,092;-5,1184
30,051;-5,3329
35,12;-5,6505
40,065;-5,9423
45,093;-6,3557
50,051;-6,8046
55,096;-7,3669
60,141;-7,8356
65,099;-8,1989
70,078;-8,5389
75,015;-8,8262
80,103;-9,1428
85,083;-9,4594
90,063;-9,8052
95,021;-10,1569
100,044;-10,491
104,958;-10,6614
110,003;-10,8434
115,069;-11,938
120,05;-11,1256
131,444;-12,3966

x;Abduction
15,114;-9,1486
20,074;-9,3483
25,087;-10,0271
30,045;-10,8532
35,059;-11,4435
40,017;-12,0854
45,141;-12,72
49,907;-13,1776
55,003;-13,7311
60,044;-14,1592
65,113;-14,499
69,962;-14,8166
75,058;-15,09
80,045;-15,3708
85,113;-15,6736
90,018;-15,8586
94,975;-17,149
100,044;-17,275
105,085;-17,4231
110,017;-17,5418
114,949;-17,6235
120,045;-17,7495
136,005;-17,6796

x;SAB
14,954;-5,9425
20,022;-6,2085
25,091;-6,5851
30,022;-7,2639
35,008;-8,0606
40,021;-8,8204
44,98;-9,4549
50,021;-9,9715
54,979;-10,5176
60,02;-10,9532
64,979;-11,374
69,993;-11,7358
75,007;-12,0239
80,048;-12,2826
85,062;-12,4233
89,994;-12,5346
94,98;-12,6827
100,104;-12,816
105,008;-12,8683
110,022;-12,9132
115,036;-12,9066
119,994;-14,3592
138,531;-15,2815
