x;Flexion
14,958;-7,6762
19,976;-8,8678
24,964;-9,8668
29,981;-10,6858
34,998;-11,4427
40,043;-12,0754
44,943;-12,6647
49,988;-13,2539
54,946;-13,6631
59,99;-14,0599
65,005;-14,4132
69,991;-14,6361
74,949;-14,9025
79,992;-15,1067
84,949;-15,2365
90,021;-15,4408
95,036;-15,4774
100,021;-15,4458
105,005;-15,2341
110,018;-14,9354
114,975;-14,9907
120,048;-15,4371
131,357;-15,4427

x;Abduction
14,986;-3,2647
19,975;-4,4376
24,935;-5,3466
29,996;-6,4729
34,998;-7,3975
39,943;-8,3065
44,946;-9,2714
50,035;-10,1245
54,966;-11,1236
60,026;-11,9705
64,971;-12,7491
70,059;-13,4129
75,032;-14,0239
79,961;-14,4983
85,035;-14,9509
89,992;-15,4035
95,01;-16,3064
100,082;-16,641
104,996;-16,9074
110,026;-17,1024
115,04;-17,139
120,111;-17,1167
135,982;-16,7439

x;SAB
14,94;-4,3563
19,901;-5,8107
24,934;-7,2534
29,93;-8,5123
34,98;-9,5561
39,939;-10,3808
44,97;-11,092
49,964;-11,7368
54,958;-12,2956
59,97;-12,7448
64,873;-13,1862
69,921;-13,6901
74,951;-14,0728
79,926;-14,3656
84,973;-14,6466
89,966;-14,908
95,068;-15,1225
99,933;-15,2119
104,944;-15,3169
109,972;-15,2107
114,982;-15,1475
120,03;-15,448
138,492;-15,7313
