x;Flexion
14,922;34,7199
19,918;35,4929
24,95;36,3947
29,946;37,275
34,905;38,1339
39,901;38,7351
44,933;39,4652
49,879;40,204
54,897;40,7857
59,959;41,3267
65;41,7055
69,926;42,003
74,966;42,3141
79,938;42,5982
84,954;42,8417
89,927;43,0987
94,967;43,1798
99,985;42,9769
104,933;42,49
109,929;41,3943
114,97;38,7567
119,988;35,8485
131,321;29,6755

x;Abduction
14,923;15,7691
19,951;15,2748
24,98;15,6668
29,893;15,4964
34,864;15,4964
39,893;15,3089
44,893;15,1044
49,893;14,8829
54,893;14,5931
59,893;14,4398
64,95;14,3716
69,921;14,3716
74,921;14,4227
79,92;14,542
84,949;14,6102
89,862;14,7806
94,949;14,2864
99,948;14,4057
104,948;14,5761
109,89;14,7806
114,89;14,8317
119,947;14,5931
135,895;14,1671

x;SAB
14,889;25,1005
19,957;26,9257
24,953;27,3336
29,949;27,6127
34,981;27,7416
40,013;27,9134
44,937;27,9134
49,861;27,9348
54,929;27,9993
59,961;28,0207
64,885;28,1495
69,881;28,1925
74,877;28,2998
79,946;28,3857
84,941;28,4072
89,865;28,4501
94,897;28,6004
99,965;28,6434
104,962;28,6004
109,921;28,3642
114,918;27,8275
119,878;25,4226
137,875;23,1824
