x;Flexion
15,026;-2,3159
20,055;-2,9896
25,016;-2,1597
30,047;-1,3643
35,008;-0,5084
40,039;0,2956
45;1,0564
49,985;1,8172
55,015;2,6385
60,045;3,3907
64,984;4,117
69,991;4,6704
75,021;5,2929
80,028;5,9241
85,013;6,5121
89,997;7,1519
95,027;7,7918
99,989;8,3798
104,996;8,8554
109,98;9,3397
114,965;11,4054
119,995;11,7341
131,375;16,193

x;Abduction
14,993;-3,8603
20,021;-1,6588
25,04;-0,656
30,048;0,6924
34,975;1,5391
40,111;2,4722
45,011;3,4397
50,02;4,3385
55,011;5,2854
60,056;6,0951
64,956;6,7265
70,037;7,3922
74,991;8,0167
80;8,5794
85,008;9,1765
90,017;9,657
94,954;11,9413
99,999;12,4492
104,99;13,0806
109,962;13,7531
114,97;14,165
120,088;14,5701
135,966;15,3188

x;SAB
14,92;-4,6662
20,046;-4,2234
25,128;-3,0502
29,932;-1,9692
34,917;-0,9059
40,015;0,0018
45,064;0,8059
49,964;1,6224
55,009;2,4184
60,072;3,0635
64,917;3,7017
69,908;4,34
74,952;4,8547
79,979;5,4655
84,988;5,9666
90,014;6,399
95,041;6,8589
99,904;7,2434
104,967;7,621
109,957;8,0671
115,002;8,5133
119,976;10,5919
138,523;13,8169
