29.731;-23.5592;-16.8732
29.85;-23.5394;-16.828
39.785;-21.8901;-13.373
40.137;-21.8317;-13.2728
49.812;-19.6635;-10.9308
49.972;-19.6277;-10.892
59.552;-18.0606;-8.4885
59.804;-18.0194;-8.4322
69.481;-15.8886;-6.6418
69.544;-15.8749;-6.6313
79.855;-13.9092;-4.8351
80.078;-13.8676;-4.7952
89.784;-12.0625;-3.1713
90.102;-12.0072;-3.1273
99.713;-10.3351;-1.7245
99.839;-10.3131;-1.6977
109.866;-8.5657;0.9829
110.31;-8.4885;1.094
120.143;-6.761;3.3561
120.179;-6.7552;3.3656
129.732;-5.2358;6.6418
129.88;-5.2122;6.7023
139.861;-4.001;11.169
140.189;-3.9613;11.328
150.021;-2.4125;16.3359
150.28;-2.3718;16.4706
