-100,3257;-40,5008
-99,2435;-39,6848
-99,1588;-38,1279
-97,9993;-37,4623
-96,0927;-36,9192
-95,5509;-36,5566
-93,8293;-35,8318
-93,0179;-35,1971
-91,3868;-34,5177
-89,7569;-33,7475
-88,1277;-32,9319
-86,4979;-32,1617
-84,9599;-31,346
-83,33;-30,5758
-81,792;-29,7602
-81,2502;-29,3976
-79,8034;-28,5818
-78,081;-27,9025
-76,8165;-27,0866
-75,1873;-26,271
-71,6567;-24,5493
-70,1187;-23,7337
-69,4858;-23,3711
-67,8566;-22,5555
-66,133;-21,9669
-64,3234;-21,0153
-62,4181;-20,3814
-60,7869;-19,702
-58,8803;-19,1588
-57,1586;-18,4341
-55,2526;-17,8456
-53,2542;-17,3479
-51,44;-16,7139
-49,5334;-16,1708
-47,5356;-15,6277
-45,5384;-15,0393
-43,6318;-14,4962
-41,6333;-13,9985
-39,5424;-13,5916
-37,4521;-13,1394
-35,3618;-12,6871
-33,2715;-12,2349
-31,0875;-11,9642
-28,9952;-11,6481
-26,8124;-11,2866
-24,6277;-11,0613
-22,5348;-10,7906
-20,3527;-10,3838
-18,1653;-10,34
-15,9819;-10,0239
-13,7978;-9,7533
-11,7042;-9,5279
-9,612;-9,2118
-7,6122;-8,8048
-5,518;-8,6248
-3,4244;-8,3995
-1,5978;-8,6277
0,4125;-8,9467
2,2306;-8,585
3,4138;-8,4498
4,7;-9,1313
